Mon Jul 25 11:58:35 2022    output.dat

         18432856 function calls (18081567 primitive calls) in 55.223 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  5571100    0.913    0.000    0.913    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:1052(sticky_edges)
  2190632    9.648    0.000    9.648    0.000 {built-in method builtins.sum}
   686499    0.077    0.000    0.109    0.000 {built-in method builtins.isinstance}
   608343    0.062    0.000    0.112    0.000 {built-in method builtins.getattr}
567500/322724    5.476    0.000    8.359    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
497949/497937    0.409    0.000    0.409    0.000 {built-in method numpy.array}
   294149    0.654    0.000    0.654    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   220832    0.026    0.000    0.026    0.000 {method 'update' of 'dict' objects}
   219838    0.039    0.000    0.136    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_asarray.py:86(asanyarray)
   194301    0.016    0.000    0.016    0.000 {method 'items' of 'dict' objects}
162862/162206    0.019    0.000    0.019    0.000 {built-in method builtins.len}
   152667    0.038    0.000    0.038    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:71(<dictcomp>)
   152667    0.143    0.000    0.554    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
   126409    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
   111166    0.031    0.000    0.031    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3406(dtype)
    95780    0.016    0.000    0.016    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:939(get_points)
    92481    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
    87272    0.013    0.000    0.016    0.000 {built-in method builtins.hasattr}
    87027    0.035    0.000    5.223    0.000 <__array_function__ internals>:2(concatenate)
    87027    0.009    0.000    0.009    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:143(concatenate)
84434/84422    0.019    0.000    0.103    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_asarray.py:14(asarray)
    81363    0.074    0.000    0.074    0.000 {method 'flatten' of 'numpy.ndarray' objects}
    80443    0.014    0.000    0.019    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:1363(getmask)
    74807    0.020    0.000    0.020    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:82(__init__)
    70998    0.005    0.000    0.005    0.000 {built-in method builtins.id}
    70430    0.010    0.000    0.010    0.000 {built-in method builtins.issubclass}
    69944    0.008    0.000    0.008    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:804(get_animated)
69942/50154    0.032    0.000    0.052    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:217(stale)
    68811    0.151    0.000    0.151    0.000 {method 'copy' of 'numpy.ndarray' objects}
    67335    0.019    0.000    0.019    0.000 {method 'ravel' of 'numpy.ndarray' objects}
63288/63284    0.026    0.000    0.204    0.000 {method 'view' of 'numpy.ndarray' objects}
    58850    0.019    0.000    0.019    0.000 {built-in method _abc._abc_instancecheck}
    58850    0.011    0.000    0.031    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
    57117    0.012    0.000    0.012    0.000 {function RcParams.__getitem__ at 0x7fac7f9a0700}
    56787    0.007    0.000    0.007    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:836(<listcomp>)
    56787    0.024    0.000    0.031    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:833(clean)
    56785    0.011    0.000    0.011    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:886(<listcomp>)
    56785    0.054    0.000    0.101    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:882(get_siblings)
56395/43125    0.045    0.000    0.112    0.000 {method 'view' of 'numpy.generic' objects}
    55251    0.013    0.000    0.013    0.000 {built-in method builtins.iter}
    53385    0.007    0.000    0.007    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:192(axes)
    50335    0.013    0.000    0.079    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:53(_any)
    50254    0.020    0.000    0.194    0.000 <__array_function__ internals>:2(amax)
