Mon Jul 25 11:58:35 2022    output.dat

         18432856 function calls (18081567 primitive calls) in 55.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   24.318   24.318   24.377   24.377 /home/luisfigueiredo/.local/lib/python3.8/site-packages/scipy/interpolate/ndgriddata.py:86(griddata)
  2190632    9.648    0.000    9.648    0.000 {built-in method builtins.sum}
567500/322724    5.476    0.000    8.359    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    20400    4.958    0.000   27.966    0.001 /tmp/ipykernel_87004/1236468573.py:1(getFrontInWindow)
  5571100    0.913    0.000    0.913    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:1052(sticky_edges)
    23045    0.804    0.000    0.804    0.000 {method 'sort' of 'numpy.ndarray' objects}
   294149    0.654    0.000    0.654    0.000 {method 'reduce' of 'numpy.ufunc' objects}
497949/497937    0.409    0.000    0.409    0.000 {built-in method numpy.array}
     3315    0.359    0.000    0.899    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2382(<listcomp>)
     3315    0.357    0.000    0.782    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2388(<listcomp>)
        1    0.273    0.273   53.135   53.135 /tmp/ipykernel_87004/407091482.py:1(CCA_SIED)
       24    0.245    0.010    0.245    0.010 {method 'argsort' of 'numpy.ndarray' objects}
       12    0.204    0.017    0.204    0.017 {method 'get_labels_groupby' of 'pandas._libs.hashtable.Int64HashTable' objects}
    68811    0.151    0.000    0.151    0.000 {method 'copy' of 'numpy.ndarray' objects}
   152667    0.143    0.000    0.554    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
6630/3316    0.127    0.000    4.729    0.001 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2398(handle_single_axis)
    46447    0.106    0.000    0.159    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:2949(_update_from)
    42946    0.105    0.000    0.105    0.000 {method 'round' of 'numpy.generic' objects}
    49226    0.092    0.000    0.092    0.000 {method 'astype' of 'numpy.ndarray' objects}
    16403    0.092    0.000    1.026    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/histograms.py:677(histogram)
     3318    0.080    0.000    0.378    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:532(__call__)
   686499    0.077    0.000    0.109    0.000 {built-in method builtins.isinstance}
    13306    0.076    0.000    0.097    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2779(nonsingular)
    10171    0.075    0.000    0.075    0.000 {built-in method builtins.sorted}
    81363    0.074    0.000    0.074    0.000 {method 'flatten' of 'numpy.ndarray' objects}
    16403    0.073    0.000    0.147    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:143(_mean)
        3    0.071    0.024    0.073    0.024 /home/luisfigueiredo/.local/lib/python3.8/site-packages/pandas/core/sorting.py:137(decons_group_index)
     1668    0.069    0.000    0.080    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/cycler.py:349(by_key)
    16427    0.066    0.000    0.080    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1152(diff)
    43131    0.064    0.000    0.274    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:2975(__array_finalize__)
        4    0.064    0.016    0.065    0.016 {built-in method matplotlib._image.resample}
3315/1658    0.064    0.000    8.524    0.005 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2332(autoscale_view)
    29785    0.064    0.000    0.064    0.000 {built-in method numpy.arange}
   608343    0.062    0.000    0.112    0.000 {built-in method builtins.getattr}
    21566    0.060    0.000    0.306    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:2819(__new__)
    46081    0.057    0.000    0.057    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
